,JANE
<eol> long tunnel,1.0
happened became widow,1.0
long tunnel light,1.0
tunnel light end,1.0
<eol> <eol> share,1.0
light end needed,1.0
end needed someone,1.0
needed someone pick,1.0
someone pick piece,1.0
pick piece ian,1.0
piece ian </eol>,1.0
better go,1.0
became widow thirty,1.0
tell happened became,1.0
<eol> yeah like,1.0
peter bobby </eol>,1.0
poor bloke break,1.0
bloke break </eol>,1.0
<eol> steven move,1.0
break </eol> </eol>,1.0
<eol> course however,1.0
course however hard,1.0
however hard might,1.0
hard might believe,1.0
might believe christian,1.0
believe christian love,1.0
room peter bobby,1.0
happened tell happened,1.0
christian love ian,1.0
love ian much,1.0
ian much </eol>,1.0
share room peter,1.0
<eol> <eol> romantic,1.0
<eol> romantic fiction,1.0
romantic fiction literature,1.0
fiction literature </eol>,1.0
literature </eol> </eol>,1.0
<eol> happened tell,1.0
ride u </eol>,1.0
yeah like </eol>,1.0
mainly girl promise,1.0
million one regret,1.0
like many shot,1.0
many shot tequila,1.0
shot tequila rush,1.0
must go </eol>,1.0
tequila rush euphoria,1.0
rush euphoria followed,1.0
<eol> must go,1.0
inside head </eol>,1.0
euphoria followed million,1.0
followed million one,1.0
one regret ian,1.0
point grant like,1.0
regret ian lay,1.0
like inside head,1.0
ian lay life,1.0
lay life many,1.0
life many people,1.0
many people get,1.0
people get say,1.0
get say </eol>,1.0
<eol> ian laugh,1.0
ian laugh </eol>,1.0
grant like many,1.0
brilliant point grant,1.0
<eol> grant irrelevant,1.0
men worse co,1.0
<eol> taking,1.0
grant irrelevant </eol>,1.0
irrelevant </eol> </eol>,1.0
<eol> see trouble,1.0
see trouble gay,1.0
trouble gay guy,1.0
gay guy like,1.0
guy like straight,1.0
like straight men,1.0
straight men worse,1.0
worse co figured,1.0
<eol> want ride,1.0
co figured yet,1.0
figured yet ya,1.0
want ride u,1.0
yet ya sex,1.0
ya sex grant,1.0
sex grant sex,1.0
grant sex </eol>,1.0
<eol> <eol> bloody,1.0
<eol> bloody brilliant,1.0
bloody brilliant point,1.0
give poor bloke,1.0
come give poor,1.0
